target,enrollee_id,education_level,experience,last_new_job,training_hours,company_size,city,city_development_index,gender,enrolled_university,major_discipline,relevent_experience,company_type
1.0,0.2680727403457263,0.5,1.0,0.2,0.1044776119402985,0.5428571428571428,0.5698324022346368,0.942115768463074,1.0,0.0,1.0,1.0,0.68
0.0,0.8905000149794782,0.5,0.6666666666666666,1.0,0.1373134328358209,0.2857142857142857,0.21787709497206706,0.6546906187624751,1.0,0.0,1.0,0.0,0.8
0.0,0.3463255340183948,0.5,0.0,0.0,0.24477611940298508,0.37142857142857133,0.111731843575419,0.3512974051896208,1.0,1.0,1.0,0.0,0.8
1.0,0.9958357050840349,0.5,0.0,0.0,0.15223880597014924,0.5428571428571428,0.6368715083798883,0.6806387225548903,0.8,0.4,0.2,0.0,0.8
0.0,0.019922705892926693,0.75,1.0,0.8,0.020895522388059702,0.2857142857142857,0.8994413407821229,0.6367265469061877,1.0,0.0,1.0,1.0,0.2
1.0,0.6486114023787412,0.5,0.6666666666666666,0.2,0.06865671641791045,0.34285714285714286,0.9776536312849162,0.6307385229540919,1.0,1.0,1.0,1.0,0.56
0.0,0.8629677342041404,0.25,0.0,0.2,0.06865671641791045,0.2857142857142857,0.888268156424581,0.942115768463074,1.0,0.0,0.8800000000000001,1.0,0.2
1.0,0.012013541448215944,0.5,0.6666666666666666,1.0,0.050746268656716415,0.0,0.25139664804469275,0.626746506986028,1.0,0.0,1.0,1.0,0.8
1.0,0.8120674675694299,0.5,0.3333333333333333,0.2,0.13432835820895522,0.2857142857142857,0.5698324022346368,0.942115768463074,1.0,0.0,1.0,1.0,0.8
0.0,0.020911351448515535,0.5,1.0,1.0,0.364179104477612,1.0,0.5698324022346368,0.942115768463074,0.8,0.0,1.0,1.0,0.8
1.0,0.8823212199286977,0.25,0.0,0.0,0.09253731343283582,0.2857142857142857,0.111731843575419,0.3512974051896208,1.0,1.0,1.0,0.0,0.8
0.0,0.714581023997124,0.5,0.0,0.2,0.3194029850746269,0.8571428571428571,0.5698324022346368,0.942115768463074,1.0,0.0,1.0,1.0,0.8
0.0,0.7674885406992421,0.5,1.0,0.6000000000000001,0.06567164179104477,0.7142857142857142,0.335195530726257,0.9281437125748505,1.0,0.0,1.0,1.0,0.8
0.0,0.17451092003954582,0.35,0.0,0.0,0.06865671641791045,0.2571428571428571,0.111731843575419,0.3512974051896208,1.0,0.6,0.8,0.0,0.8
0.0,0.2612720572815243,0.25,0.0,0.0,0.07462686567164178,0.2857142857142857,0.111731843575419,0.3512974051896208,1.0,1.0,1.0,0.0,0.8
0.0,0.19733964468677911,0.5,1.0,1.0,0.050746268656716415,0.14285714285714285,0.6312849162011173,0.9540918163672657,1.0,0.0,1.0,1.0,0.8
0.0,0.12480901165403398,0.5,0.0,0.0,0.31343283582089554,0.2857142857142857,0.5698324022346368,0.942115768463074,0.6,0.0,1.0,1.0,0.8
0.0,0.172653464753288,0.5,0.0,0.4,0.01791044776119403,0.8571428571428571,0.111731843575419,0.3512974051896208,1.0,0.0,1.0,1.0,0.8
1.0,0.06456155067557447,0.5,0.3333333333333333,0.0,0.06567164179104477,1.0,0.111731843575419,0.3512974051896208,1.0,0.0,1.0,1.0,0.8
